visit_date,number_of_visits,username,store_name,delivery_days,wh,gcu,barangay,city,long,lat,store_profile,last_delivered_date,has_tried_elista,delivered_order_ids,delivered_categories,bakit hindi umorder si customer?,latest_order_status,cancellation_reason,no_delivered_orders,bucket
,,ss240611u96166,Chichu Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9689312,10.3886643,Non Key Account,2024-12-13,No,,,,delivered,,0,Churned (60+ Days)
,,ss240615u26250,emz ninz,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.97866633,10.39077759,Non Key Account,2025-10-10,No,,,,delivered,,0,Churned (60+ Days)
,,ss240624u36893,Marilyn Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9673807,10.3930605,Non Key Account,2024-06-26,No,,,,delivered,,0,Churned (60+ Days)
,,ss240727u88412,Eskina J Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9732229,10.3835953,Non Key Account,2024-08-05,No,,,,delivered,,0,Churned (60+ Days)
,,ss240802u00629,Nang Portings Store,"Monday, Wednesday, Friday",CB,CB02,San Vicente,Liloan,123.9789542,10.39704785,Non Key Account,2025-05-05,No,,,,delivered,,0,Churned (60+ Days)
,,ss240808u96878,FNJ STORE,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.98318941,10.39405879,Non Key Account,2025-06-30,No,,,,delivered,,0,Churned (60+ Days)
,,ss240813u42068,SEZE Convenience Store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9733261,10.3710335,Non Key Account,2025-06-09,No,,,,delivered,,0,Churned (60+ Days)
,,ss240813u79831,MARITISAN STORE,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9658717,10.3860733,Non Key Account,2024-08-16,No,,,,delivered,,0,Churned (60+ Days)
,,ss240813u93416,D Marit Cafe and Store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9756778,10.3753458,Non Key Account,2024-10-14,No,,,,delivered,,0,Churned (60+ Days)
,,ss240914u10072,Balabas Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.98058632,10.38949337,Non Key Account,2024-10-16,No,,,,delivered,,0,Churned (60+ Days)
,,ss240915u60851,LNM CARENDERIA &SARISARI,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.970726,10.382187,Non Key Account,2024-10-14,No,,,,delivered,,0,Churned (60+ Days)
,,ss240916u43809,Marj sari2x store ,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.969889,10.3815702,Non Key Account,2025-10-31,No,,,,delivered,,0,Churned (60+ Days)
,,ss240917u28531,XYZ Store ,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.966272,10.38002673,Non Key Account,2025-01-29,No,,,,delivered,,0,Churned (60+ Days)
,,ss240918u27658,Ponce Store ( back of Julies Ba,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.980376,10.389583,Non Key Account,2025-10-13,No,,,,delivered,,0,Churned (60+ Days)
,,ss241003u19172,Charystore,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9755756,10.3803941,Non Key Account,2024-10-09,No,,,,delivered,,0,Churned (60+ Days)
,,ss241003u36031,n/a,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9768,10.3779574,Non Key Account,2024-10-11,No,,,,delivered,,0,Churned (60+ Days)
,,ss241012u13015,Willow Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9726604,10.3987207,Non Key Account,2025-10-10,No,,,,delivered,,0,Churned (60+ Days)
,,ss241107u93611,Vith sari sari store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9748934,10.3771728,Non Key Account,2024-12-27,No,,,,delivered,,0,Churned (60+ Days)
,,ss241111u31219,Kieloy Store,"Monday, Wednesday, Friday",CB,CB02,San Vicente,Liloan,123.9810208,10.3991915,Non Key Account,2025-03-12,No,,,,delivered,,0,Churned (60+ Days)
,,ss241118u38918,Balasabas meat shop,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9803484,10.3896359,Non Key Account,2025-03-12,No,,,,delivered,,0,Churned (60+ Days)
,,ss241122u36973,Mackoi Store,"Monday, Wednesday, Friday",CB,CB02,San Vicente,Liloan,123.97907956,10.39874268,Non Key Account,2025-06-16,No,,,,delivered,,0,Churned (60+ Days)
,,ss241128u88920,Justwantobeamillionaire,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9759187,10.3761046,Non Key Account,2025-01-10,No,,,,delivered,,0,Churned (60+ Days)
,,ss241211u70316,AmeNes Sari Sari Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.96468335,10.38204193,Non Key Account,2025-10-03,No,,,,delivered,,0,Churned (60+ Days)
,,ss250106u33863,PGD Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9741009,10.3927716,Non Key Account,2025-01-08,No,,,,delivered,,0,Churned (60+ Days)
,,ss250113u48648,Roxymestore,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.976929,10.3855208,Non Key Account,2025-03-05,No,,,,delivered,,0,Churned (60+ Days)
,,ss250116u60531,Delia Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9699009,10.3829071,Non Key Account,2025-01-20,No,,,,delivered,,0,Churned (60+ Days)
,,ss250123u34081,Sheila's store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.969948,10.3829278,Non Key Account,2025-12-08,No,,,,delivered,,0,Churned (60+ Days)
,,ss250126u79150,Blake Store ,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.96430464,10.38522729,Non Key Account,2025-11-28,No,,,,delivered,,0,Churned (60+ Days)
,,ss250203u97132,TPC Outlet,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.98025172,10.38899705,Non Key Account,2025-06-18,No,,,,delivered,,0,Churned (60+ Days)
,,ss250214u40454,Jeian's Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.96790417,10.38764693,Non Key Account,2025-06-11,No,,,,delivered,,0,Churned (60+ Days)
,,ss250219u09543,linda store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.97609966,10.37884824,Non Key Account,2025-05-30,No,,,,cancelled,,0,Churned (60+ Days)
,,ss250227u43078,Jelyn store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9631591,10.3873602,Non Key Account,2025-03-03,No,,,,delivered,,0,Churned (60+ Days)
,,ss250313u43916,Mary store ,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9800868,10.3966575,Non Key Account,2025-03-17,No,,,,delivered,,0,Churned (60+ Days)
,,ss250317u87909,Sari sari store ,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9787454,10.3840034,Non Key Account,2025-10-22,No,,,,delivered,,0,Churned (60+ Days)
,,ss250401u57034,Angging store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.975794,10.3796615,Non Key Account,2025-10-24,No,,,,delivered,,0,Churned (60+ Days)
,,ss250505u78093,MikelStore,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9795854,10.3953295,Non Key Account,2025-08-20,No,,,,delivered,,0,Churned (60+ Days)
,,ss250609u36935,Adam & Zach Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.965136,10.38593488,Non Key Account,2025-08-29,No,,,,delivered,,0,Churned (60+ Days)
